timestamp_ms,key,delta_ms
1775447762376,key-38,163
1775447762377,key-7,157
1775447762382,key-24,160
1775447762383,key-43,158
1775447762384,key-32,162
1775447762390,key-26,214
1775447762404,key-14,163
1775447762409,key-20,254
1775447762411,key-28,166
1775447762420,key-14,163
1775447762428,key-21,174
1775447762429,key-12,222
1775447762431,key-44,216
1775447762434,key-42,157
1775447762464,key-34,169
1775447762473,key-41,182
1775447762485,key-17,169
1775447762485,key-26,174
1775447762487,key-48,177
1775447762489,key-26,172
1775447762498,key-7,159
1775447762507,key-29,156
1775447762517,key-35,168
1775447762519,key-6,167
1775447762524,key-25,158
1775447762540,key-38,226
1775447762553,key-44,160
1775447762555,key-21,169
1775447762556,key-20,165
1775447762557,key-48,162
1775447762557,key-18,155
1775447762563,key-41,161
1775447762566,key-41,164
1775447762570,key-15,166
1775447762578,key-13,160
1775447762579,key-49,172
1775447762594,key-2,171
1775447762595,key-45,217
1775447762610,key-42,156
1775447762614,key-22,160
1775447762635,key-32,169
1775447762636,key-18,198
1775447762636,key-20,165
1775447762636,key-37,167
1775447762663,key-19,172
1775447762664,key-25,238
1775447762665,key-30,173
1775447762666,key-19,158
1775447762666,key-41,174
1775447762668,key-22,214
1775447762669,key-17,208
1775447762669,key-33,164
1775447762679,key-37,175
1775447762684,key-5,161
1775447762686,key-15,162
1775447762700,key-32,178
1775447762711,key-16,166
1775447762715,key-39,165
1775447762715,key-2,155
1775447762722,key-2,159
1775447762725,key-10,230
1775447762730,key-41,168
1775447762732,key-34,162
1775447762737,key-4,210
1775447762739,key-25,165
1775447762751,key-49,216
1775447762753,key-24,179
1775447762759,key-42,163
1775447762762,key-4,220
1775447762773,key-48,215
1775447762785,key-31,217
1775447762801,key-13,269
1775447762808,key-5,171
1775447762814,key-17,208
1775447762820,key-30,226
1775447762820,key-21,180
1775447762820,key-15,219
1775447762820,key-21,180
1775447762823,key-18,161
1775447762833,key-24,161
1775447762833,key-26,161
1775447762843,key-15,160
1775447762843,key-26,171
1775447762844,key-18,160
1775447762856,key-15,173
1775447762862,key-42,173
1775447762869,key-16,159
1775447762893,key-14,160
1775447762902,key-11,164
1775447762902,key-6,218
1775447762917,key-47,162
1775447762931,key-14,160
1775447762932,key-16,167
1775447762947,key-44,171
1775447762957,key-2,177
1775447762958,key-46,234
1775447762972,key-21,159
1775447762994,key-13,207
1775447762995,key-31,244
1775447762996,key-31,245
1775447763005,key-12,225
1775447763011,key-1,223
1775447763012,key-34,292
1775447763012,key-27,256
1775447763024,key-38,257
1775447763047,key-9,201
1775447763049,key-28,215
1775447763049,key-26,183
1775447763052,key-2,196
1775447763061,key-2,205
1775447763062,key-11,206
1775447763064,key-34,190
1775447763065,key-22,201
1775447763067,key-46,197
1775447763076,key-6,202
1775447763091,key-21,278
1775447763091,key-34,267
1775447763094,key-49,223
1775447763095,key-36,198
1775447763096,key-9,184
1775447763102,key-10,337
1775447763107,key-13,199
1775447763111,key-45,223
1775447763112,key-43,184
1775447763117,key-29,195
1775447763146,key-10,293
1775447763161,key-12,248
1775447763185,key-7,230
1775447763186,key-49,172
1775447763186,key-47,313
1775447763204,key-31,332
1775447763204,key-47,331
1775447763222,key-28,276
1775447763222,key-9,310
1775447763238,key-13,205
1775447763238,key-37,195
1775447763238,key-25,203
1775447763243,key-24,173
1775447763249,key-10,285
1775447763264,key-17,163
1775447763279,key-34,160
1775447763284,key-12,156
1775447763296,key-28,162
1775447763305,key-39,376
1775447763311,key-46,162
1775447763312,key-46,163
1775447763316,key-36,164
1775447763320,key-13,163
1775447763332,key-30,166
1775447763337,key-16,168
1775447763338,key-36,374
1775447763357,key-30,163
1775447763361,key-33,157
1775447763385,key-46,178
1775447763389,key-22,179
1775447763394,key-12,163
1775447763402,key-39,220
1775447763407,key-27,167
1775447763415,key-5,171
1775447763415,key-38,173
1775447763415,key-4,171
1775447763423,key-49,174
1775447763423,key-50,161
1775447763431,key-37,166
1775447763434,key-14,229
1775447763438,key-18,164
1775447763439,key-10,165
1775447763441,key-21,172
1775447763441,key-34,210
1775447763442,key-6,170
1775447763448,key-4,173
1775447763449,key-2,194
1775447763450,key-13,172
1775447763453,key-35,257
1775447763473,key-24,180
1775447763476,key-24,312
1775447763479,key-48,226
1775447763481,key-8,192
1775447763482,key-34,191
1775447763484,key-36,180
1775447763487,key-35,171
1775447763496,key-37,204
1775447763496,key-14,177
1775447763515,key-38,174
1775447763516,key-2,198
1775447763528,key-34,297
1775447763530,key-15,169
1775447763535,key-6,183
1775447763535,key-4,184
1775447763535,key-40,196
1775447763535,key-45,194
1775447763537,key-14,196
1775447763538,key-13,173
1775447763538,key-45,173
1775447763539,key-24,172
1775447763559,key-15,198
1775447763566,key-36,186
1775447763586,key-47,222
1775447763587,key-17,239
1775447763591,key-32,155
1775447763598,key-33,161
1775447763599,key-34,199
1775447763606,key-32,163
1775447763611,key-10,248
1775447763611,key-9,161
1775447763614,key-25,234
1775447763617,key-31,161
1775447763619,key-6,267
1775447763629,key-30,163
1775447763629,key-33,164
1775447763636,key-34,236
1775447763642,key-25,165
1775447763642,key-40,164
1775447763643,key-41,165
1775447763655,key-14,158
1775447763656,key-26,220
1775447763657,key-16,159
1775447763664,key-12,163
1775447763665,key-31,165
1775447763669,key-35,165
1775447763677,key-30,166
1775447763685,key-18,161
1775447763694,key-46,166
1775447763695,key-27,170
1775447763700,key-31,162
1775447763700,key-40,208
1775447763700,key-18,166
1775447763701,key-31,163
1775447763702,key-41,167
1775447763708,key-11,198
1775447763710,key-20,167
1775447763716,key-44,158
1775447763717,key-24,164
1775447763722,key-33,231
1775447763730,key-5,159
1775447763738,key-38,158
1775447763751,key-28,209
1775447763759,key-47,163
1775447763762,key-39,161
1775447763768,key-32,160
1775447763778,key-5,207
1775447763778,key-31,240
1775447763781,key-8,158
1775447763785,key-11,159
1775447763791,key-37,174
1775447763808,key-25,165
1775447763817,key-35,164
1775447763822,key-31,191
1775447763823,key-47,212
1775447763823,key-22,166
1775447763823,key-25,180
1775447763828,key-22,216
1775447763828,key-12,166
1775447763830,key-41,158
1775447763838,key-4,164
1775447763841,key-23,165
1775447763842,key-25,156
1775447763849,key-49,156
1775447763863,key-24,159
1775447763866,key-48,214
1775447763868,key-50,193
1775447763873,key-13,174
1775447763874,key-38,168
1775447763874,key-3,167
1775447763881,key-30,165
1775447763889,key-48,162
1775447763893,key-11,227
1775447763900,key-38,164
1775447763918,key-4,244
1775447763923,key-4,207
1775447763923,key-25,237
1775447763924,key-50,167
1775447763924,key-11,166
1775447763925,key-13,180
1775447763927,key-6,157
1775447763931,key-9,178
1775447763973,key-40,197
1775447763975,key-31,272
1775447763976,key-11,218
1775447763976,key-49,195
1775447763999,key-35,224
1775447764000,key-34,169
1775447764002,key-41,176
1775447764018,key-8,174
1775447764021,key-42,278
1775447764022,key-47,249
1775447764022,key-34,270
